,Baclaran,EDSA,Libertad,Gil Puyat,Vito Cruz,Quirino,Pedro Gil,UN Ave.,Central,Carriedo,Doroteo Jose,Bambang,Tayuman,Blumentritt,Abad Santos,R. Papa,5th Avenue,Monumento,Balintawak,Roosevelt
Baclaran,0,16,16,16,16,16,21,21,21,21,21,21,32,32,32,32,32,32,32,32
EDSA,16,0,16,16,16,16,16,21,21,21,21,21,21,32,32,32,32,32,32,32
Libertad,16,16,0,16,16,16,16,16,21,21,21,21,21,21,32,32,32,32,32,32
Gil Puyat,16,16,16,0,16,16,16,16,21,21,21,21,21,21,21,32,32,32,32,32
Vito Cruz,16,16,16,16,0,16,16,16,16,16,21,21,21,21,21,21,32,32,32,32
Quirino,16,16,16,16,16,0,16,16,16,16,16,21,21,21,21,21,21,32,32,32
Pedro Gil,21,16,16,16,16,16,0,16,16,16,16,16,21,21,21,21,21,21,32,32
UN Ave.,21,21,16,16,16,16,16,0,16,16,16,16,16,21,21,21,21,21,32,32
Central,21,21,21,21,16,16,16,16,0,16,16,16,16,16,16,21,21,21,21,32
Carriedo,21,21,21,21,16,16,16,16,16,0,16,16,16,16,16,16,21,21,21,32
Doroteo Jose,21,21,21,21,21,16,16,16,16,16,0,16,16,16,16,16,16,21,21,32
Bambang,21,21,21,21,21,21,16,16,16,16,16,0,16,16,16,16,16,21,21,21
Tayuman,32,21,21,21,21,21,21,16,16,16,16,16,0,16,16,16,16,16,21,21
Blumentritt,32,32,21,21,21,21,21,21,16,16,16,16,16,0,16,16,16,16,21,21
Abad Santos,32,32,32,21,21,21,21,21,16,16,16,16,16,16,0,16,16,16,21,21
R. Papa,32,32,32,32,21,21,21,21,21,16,16,16,16,16,16,0,16,16,16,21
5th Avenue,32,32,32,32,32,21,21,21,21,21,16,16,16,16,16,16,0,16,16,21
Monumento,32,32,32,32,32,32,21,21,21,21,21,21,16,16,16,16,16,0,16,16
Balintawak,32,32,32,32,32,32,32,32,21,21,21,21,21,21,16,16,16,16,0,16
Roosevelt,32,32,32,32,32,32,32,32,32,32,32,21,21,21,21,21,21,16,16,0
