,Baclaran,EDSA,Libertad,Gil Puyat,Vito Cruz,Quirino,Pedro Gil,UN Ave.,Central,Carriedo,Doroteo Jose,Bambang,Tayuman,Blumentritt,Abad Santos,R. Papa,5th Avenue,Monumento,Balintawak,Roosevelt
Baclaran,0,13,14,14,15,16,17,18,19,20,20,21,22,22,23,25,26,27,29,31
EDSA,13,0,13,14,15,16,16,17,18,19,20,20,21,22,23,23,25,26,29,31
Libertad,14,13,0,13,14,15,15,16,17,18,19,19,20,21,22,22,23,25,28,30
Gil Puyat,14,14,13,0,13,14,15,15,17,17,18,19,19,20,21,22,23,25,27,29
Vito Cruz,15,15,14,13,0,13,14,14,16,16,17,18,18,19,20,21,22,23,26,28
Quirino,16,16,15,14,13,0,13,14,15,15,16,17,17,18,19,20,21,22,25,27
Pedro Gil,17,16,15,15,14,13,0,13,14,15,15,16,17,17,18,19,20,21,23,26
UN Ave.,18,17,16,15,14,14,13,0,13,14,15,15,16,17,18,18,19,20,23,25
Central,19,18,17,17,16,15,14,13,0,13,13,14,15,15,16,17,18,19,21,23
Carriedo,20,19,18,17,16,15,15,14,13,0,13,13,14,15,16,16,17,18,21,23
Doroteo Jose,20,20,19,18,17,16,15,15,13,13,0,13,13,14,15,16,16,18,20,22
Bambang,21,20,19,19,18,17,16,15,14,13,13,0,13,13,14,15,16,17,19,21
Tayuman,22,21,20,19,18,17,17,16,15,14,13,13,0,13,14,14,15,16,19,21
Blumentritt,22,22,21,20,19,18,17,17,15,15,14,13,13,0,13,14,15,16,18,20
Abad Santos,23,23,22,21,20,19,18,18,16,16,15,14,14,13,0,13,14,15,17,19
R. Papa,25,23,22,22,21,20,19,18,17,16,16,15,14,14,13,0,13,14,16,18
5th Avenue,26,25,23,23,22,21,20,19,18,17,16,16,15,15,14,13,0,13,16,17
Monumento,27,26,25,25,23,22,21,20,19,18,18,17,16,16,15,14,13,0,14,16
Balintawak,29,29,28,27,26,25,23,23,21,21,20,19,19,18,17,16,16,14,0,14
Roosevelt,31,31,30,29,28,27,26,25,23,23,22,21,21,20,19,18,17,16,14,0
