,Recto,Legarda,Pureza,V. Mapa,J. Ruiz,Gilmore,Betty Go-Belmonte,Araneta - Cubao,Anonas,Katipunan,Santolan
Recto,0,16,16,16,21,21,21,21,27,27,27
Legarda,16,0,16,16,16,21,21,21,21,27,27
Pureza,16,16,0,16,16,16,21,21,21,21,27
V. Mapa,16,16,16,0,16,16,16,21,21,21,27
J. Ruiz,21,16,16,16,0,16,16,16,21,21,21
Gilmore,21,21,16,16,16,0,16,16,16,21,21
Betty Go-Belmonte,21,21,21,16,16,16,0,16,16,16,21
Araneta - Cubao,21,21,21,21,16,16,16,0,16,16,16
Anonas,27,21,21,21,21,16,16,16,0,16,16
Katipunan,27,27,21,21,21,21,16,16,16,0,16
Santolan,27,27,27,27,21,21,21,16,16,16,0
