,Recto,Legarda,Pureza,V. Mapa,J. Ruiz,Gilmore,Betty Go-Belmonte,Araneta - Cubao,Anonas,Katipunan,Santolan
Recto,0,13,15,16,17,18,19,20,22,23,26
Legarda,13,0,14,15,16,17,18,19,21,22,25
Pureza,15,14,0,14,15,16,17,18,20,21,23
V. Mapa,16,15,14,0,14,15,16,17,19,20,22
J. Ruiz,17,16,15,14,0,13,14,15,17,18,20
Gilmore,18,17,16,15,13,0,13,14,16,17,19
Betty Go-Belmonte,19,18,17,16,14,13,0,13,15,16,18
Araneta - Cubao,20,19,18,17,15,14,13,0,13,14,16
Anonas,22,21,20,19,17,16,15,13,0,13,15
Katipunan,23,22,21,20,18,17,16,14,13,0,14
Santolan,26,25,23,22,20,19,18,16,15,14,0
