,North Ave,Quezon Ave,Kamuning,Cubao,Santolan,Ortigas,Shaw,Boni,Guadalupe,Buendia,Ayala,Magallanes,Taft
North Ave,0,14,14,17,17,21,21,21,26,26,26,30,30
Quezon Ave,14,0,14,14,17,17,21,21,21,26,26,26,30
Kamuning,14,14,0,14,14,17,17,21,21,21,26,26,26
Cubao,17,14,14,0,14,14,17,17,21,21,21,26,26
Santolan,17,17,14,14,0,14,14,17,17,21,21,21,26
Ortigas,21,17,17,14,14,0,14,14,17,17,21,21,21
Shaw,21,21,17,17,14,14,0,14,14,17,17,21,21
Boni,21,21,21,17,17,14,14,0,14,14,17,17,21
Guadalupe,26,21,21,21,17,17,14,14,0,14,14,17,17
Buendia,26,26,21,21,21,17,17,14,14,0,14,14,17
Ayala,26,26,26,21,21,21,17,17,14,14,0,14,14
Magallanes,30,26,26,26,21,21,21,17,17,14,14,0,14
Taft,30,30,26,26,26,21,21,21,17,17,14,14,0
