distance,regular,discounted
1,12.82,10.15
2,12.82,10.15
3,12.82,10.15
4,12.82,10.15
5,12.82,10.15
6,15.22,12.02
7,17.62,13.88
8,19.76,16.02
9,22.16,17.89
10,24.56,19.76
11,26.97,21.63
12,29.37,23.50
13,31.51,25.37
14,33.91,27.23
15,36.31,29.10
16,38.72,30.97
17,41.12,32.84
18,43.25,34.71
19,45.66,36.58
20,48.06,38.45
21,50.46,40.32
22,52.87,42.19
23,55.00,44.05
24,57.41,45.92
25,59.81,47.79
26,62.21,49.66
27,64.61,51.53
28,66.75,53.40
29,69.15,55.27
30,71.56,57.14
31,73.96,59.01
32,76.36,60.88
33,78.50,63.01
34,80.90,64.88
35,83.30,66.75
36,85.71,68.62
37,88.11,70.49
38,90.25,72.36
39,92.65,74.23
40,95.05,76.09
41,97.46,77.96
42,99.86,79.83
43,101.99,81.70
44,104.40,83.57
45,106.80,85.44
46,109.20,87.31
47,111.61,89.18
48,113.74,91.05
49,116.15,92.92
50,118.55,94.79
51,120.95,96.65
52,123.35,98.52
53,125.49,100.39
54,127.89,102.26
55,130.30,104.13
56,132.70,106.00
57,135.10,107.87
58,137.24,110.00
59,139.64,111.87
60,142.04,113.74
