distance,regular,discounted
1,10.68,8.54
2,10.68,8.54
3,10.68,8.54
4,10.68,8.54
5,10.68,8.54
6,12.55,10.15
7,14.69,11.75
8,16.55,13.35
9,18.69,14.95
10,20.56,16.55
11,22.43,18.16
12,24.56,19.49
13,26.43,21.09
14,28.57,22.70
15,30.44,24.30
16,32.31,25.90
17,34.44,27.50
18,36.31,29.10
19,38.45,30.71
20,40.32,32.31
21,42.19,33.91
22,44.32,35.51
23,46.19,37.11
24,48.33,38.45
25,50.20,40.05
26,52.07,41.65
27,54.20,43.25
28,56.07,44.86
29,58.21,46.46
30,60.08,48.06
31,61.94,49.66
32,64.08,51.26
33,65.95,52.87
34,68.09,54.47
35,69.95,56.07
36,71.82,57.67
37,73.96,59.01
38,75.83,60.61
39,77.96,62.21
40,79.83,63.81
41,81.70,65.42
42,83.84,67.02
43,85.71,68.62
44,87.84,70.22
45,89.71,71.82
46,91.58,73.42
47,93.72,75.03
48,95.59,76.63
49,97.72,77.96
50,99.59,79.57
51,101.46,81.17
52,103.60,82.77
53,105.47,84.37
54,107.60,85.97
55,109.47,87.58
56,111.34,89.18
57,113.48,90.78
58,115.34,92.38
59,117.48,93.98
60,119.35,95.59
